filename,elevation,FOV,v_deg
0-178.53814205813472-73.13638033757843--24.61715336669316-45.98.png,45.98,73.13638033757843,-24.61715336669316
0-352.4429157107868-74.31744463620117-7.967962024747884-45.98.png,45.98,74.31744463620117,7.967962024747884
0-144.93835760585975-75.45758241306362--17.26785800122056-45.98.png,45.98,75.45758241306362,-17.26785800122056
0-105.31493778634271-77.3797982737252--14.47765338845296-45.98.png,45.98,77.3797982737252,-14.47765338845296
0-304.5811435774833-84.3654960168559--8.950311720786928-45.98.png,45.98,84.3654960168559,-8.950311720786928
0-79.95809142697331-57.29120189243772--25.54705131553032-45.98.png,45.98,57.29120189243772,-25.54705131553032
0-16.644835775760246-60.43623276454208-21.744271740332422-45.98.png,45.98,60.43623276454208,21.744271740332422
0-54.357066113468086-65.61489942022787-18.44009100699236-45.98.png,45.98,65.61489942022787,18.44009100699236
0-222.23940147166886-80.33960956012741-5.26999711475586-45.98.png,45.98,80.33960956012741,5.26999711475586
0-335.7752513980236-71.25042731352468--10.716189111523661-45.98.png,45.98,71.25042731352468,-10.716189111523661
0-151.55360574943813-58.6672261181772--2.778586950826295-45.98.png,45.98,58.6672261181772,-2.778586950826295
0-312.6114157916569-75.50766092299152-15.726163061654319-45.98.png,45.98,75.50766092299152,15.726163061654319
1-337.1709747652366-85.2927208630785-14.129882563650888-38.76.png,38.76,85.2927208630785,14.129882563650888
1-270.3558561659086-65.31102266650785-27.47196756626439-38.76.png,38.76,65.31102266650785,27.47196756626439
1-322.4960138415317-64.25905494778668-22.268127033647467-38.76.png,38.76,64.25905494778668,22.268127033647467
1-277.55639626408964-59.11835075517085--26.706101423210878-38.76.png,38.76,59.11835075517085,-26.706101423210878
1-105.09578603633751-62.912709846384054-17.325000700155023-38.76.png,38.76,62.912709846384054,17.325000700155023
1-183.75409652250013-89.8295485389987-11.020784043525126-38.76.png,38.76,89.8295485389987,11.020784043525126
1-279.39625575895076-57.44979507637082-23.10628937154445-38.76.png,38.76,57.44979507637082,23.10628937154445
1-341.28983623330583-86.9129835867036--29.96726206909208-38.76.png,38.76,86.9129835867036,-29.96726206909208
1-14.747905955753344-88.71030951207794-22.56924388640327-38.76.png,38.76,88.71030951207794,22.56924388640327
1-24.91278164987376-71.66264934925339--22.55343188845737-38.76.png,38.76,71.66264934925339,-22.55343188845737
1-218.95629964383477-86.08402082031753-28.436554039705136-38.76.png,38.76,86.08402082031753,28.436554039705136
1-269.05070961935985-56.538589381665176--24.585921633929964-38.76.png,38.76,56.538589381665176,-24.585921633929964
2-310.5300260489272-57.64357665958948-24.743950996447865-56.49.png,56.49,57.64357665958948,24.743950996447865
2-51.29550043733121-54.44262031842373--22.910653706050716-56.49.png,56.49,54.44262031842373,-22.910653706050716
2-128.39467545074442-61.8759922229232-4.925641229611244-56.49.png,56.49,61.8759922229232,4.925641229611244
2-111.18095690436509-51.906750849987496-24.060768116622754-56.49.png,56.49,51.906750849987496,24.060768116622754
2-245.3400416397165-61.61872078033551-13.780748128999974-56.49.png,56.49,61.61872078033551,13.780748128999974
2-342.3893162786672-82.7529861291146-6.858539360426754-56.49.png,56.49,82.7529861291146,6.858539360426754
2-227.4927553380838-71.087660727054-6.959264290086182-56.49.png,56.49,71.087660727054,6.959264290086182
2-277.10578517572714-71.22972391449713-19.14343855277007-56.49.png,56.49,71.22972391449713,19.14343855277007
2-236.48261393357816-73.51442942996803--10.179243723898441-56.49.png,56.49,73.51442942996803,-10.179243723898441
