panoID,filename,elevation
1186_t2RdO_qNonJLYl473mnHxA_37.25429984_-6.95184615,0-0-47.158.png,47.158
1186_t2RdO_qNonJLYl473mnHxA_37.25429984_-6.95184615,0-90-47.158.png,47.158
1186_t2RdO_qNonJLYl473mnHxA_37.25429984_-6.95184615,0-180-47.158.png,47.158
1186_t2RdO_qNonJLYl473mnHxA_37.25429984_-6.95184615,0-270-47.158.png,47.158
1758_kqjoH4R6fFmGwOp5kphW4g_43.16465528_-77.64498275,1-0-28.3863.png,28.3863
1758_kqjoH4R6fFmGwOp5kphW4g_43.16465528_-77.64498275,1-90-28.3863.png,28.3863
1758_kqjoH4R6fFmGwOp5kphW4g_43.16465528_-77.64498275,1-180-28.3863.png,28.3863
1758_kqjoH4R6fFmGwOp5kphW4g_43.16465528_-77.64498275,1-270-28.3863.png,28.3863
1975_0KJ-NIQvvZH_wDW5BU1PZA_36.18746118_-5.92371097,2-0-25.3594.png,25.3594
1975_0KJ-NIQvvZH_wDW5BU1PZA_36.18746118_-5.92371097,2-90-25.3594.png,25.3594
1975_0KJ-NIQvvZH_wDW5BU1PZA_36.18746118_-5.92371097,2-180-25.3594.png,25.3594
1975_0KJ-NIQvvZH_wDW5BU1PZA_36.18746118_-5.92371097,2-270-25.3594.png,25.3594
2398_9SAOKmxCqyVFpGdbJcK_xw_42.98117664_-97.49665100,3-0-30.2062.png,30.2062
2398_9SAOKmxCqyVFpGdbJcK_xw_42.98117664_-97.49665100,3-90-30.2062.png,30.2062
2398_9SAOKmxCqyVFpGdbJcK_xw_42.98117664_-97.49665100,3-180-30.2062.png,30.2062
2398_9SAOKmxCqyVFpGdbJcK_xw_42.98117664_-97.49665100,3-270-30.2062.png,30.2062
2283_sC1VeEqlqmgnDIVMmJSOdg_51.42440379_-2.22399534,4-0-55.5008.png,55.5008
2283_sC1VeEqlqmgnDIVMmJSOdg_51.42440379_-2.22399534,4-90-55.5008.png,55.5008
2283_sC1VeEqlqmgnDIVMmJSOdg_51.42440379_-2.22399534,4-180-55.5008.png,55.5008
2283_sC1VeEqlqmgnDIVMmJSOdg_51.42440379_-2.22399534,4-270-55.5008.png,55.5008
916_7aV87qu5slzd8bHLZaG-MQ_13.24679046_102.82129851,5-0-62.7337.png,62.7337
916_7aV87qu5slzd8bHLZaG-MQ_13.24679046_102.82129851,5-90-62.7337.png,62.7337
916_7aV87qu5slzd8bHLZaG-MQ_13.24679046_102.82129851,5-180-62.7337.png,62.7337
916_7aV87qu5slzd8bHLZaG-MQ_13.24679046_102.82129851,5-270-62.7337.png,62.7337
2044_VJ1OPuUi5p574-10xKnFHg_-8.27983048_120.44813259,6-0-27.8231.png,27.8231
2044_VJ1OPuUi5p574-10xKnFHg_-8.27983048_120.44813259,6-90-27.8231.png,27.8231
2044_VJ1OPuUi5p574-10xKnFHg_-8.27983048_120.44813259,6-180-27.8231.png,27.8231
2044_VJ1OPuUi5p574-10xKnFHg_-8.27983048_120.44813259,6-270-27.8231.png,27.8231
870_84VnW_XOjKwyj-ophbMCeA_70.62930388_21.98124901,7-0-40.5098.png,40.5098
870_84VnW_XOjKwyj-ophbMCeA_70.62930388_21.98124901,7-90-40.5098.png,40.5098
870_84VnW_XOjKwyj-ophbMCeA_70.62930388_21.98124901,7-180-40.5098.png,40.5098
870_84VnW_XOjKwyj-ophbMCeA_70.62930388_21.98124901,7-270-40.5098.png,40.5098
3327_65sEzh1IivPexNEu06RTsw_40.07950763_21.18178980,8-0-23.464.png,23.464
3327_65sEzh1IivPexNEu06RTsw_40.07950763_21.18178980,8-90-23.464.png,23.464
3327_65sEzh1IivPexNEu06RTsw_40.07950763_21.18178980,8-180-23.464.png,23.464
3327_65sEzh1IivPexNEu06RTsw_40.07950763_21.18178980,8-270-23.464.png,23.464
400_bDFEm4sRn1Frzq2wM9HyhQ_40.59801138_-124.15729480,9-0-41.7873.png,41.7873
400_bDFEm4sRn1Frzq2wM9HyhQ_40.59801138_-124.15729480,9-90-41.7873.png,41.7873
